                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4302,                 1.0471,                0.92826,                0.40106,                0.31732,                0.30455,                0.17511,                 1.3905,                 1.0292,                0.92227,               0.006634,               0.006634,               0.006634
                     37,                 1.4226,                  1.042,                0.92625,                0.41188,                0.31104,                0.30554,                 0.1747,                 1.3828,                 1.0237,                0.92097,               0.006535,               0.006535,               0.006535
                     38,                 1.4148,                 1.0347,                0.92519,                0.39515,                0.31878,                  0.307,                0.17654,                 1.3828,                 1.0258,                0.91705,               0.006436,               0.006436,               0.006436
                     39,                 1.4148,                  1.034,                0.92731,                0.39786,                  0.311,                0.30345,                0.17455,                 1.3891,                 1.0285,                  0.919,               0.006337,               0.006337,               0.006337
                     40,                 1.4102,                 1.0327,                0.92473,                 0.4042,                0.31149,                0.30457,                0.17639,                 1.3792,                  1.028,                0.91673,               0.006238,               0.006238,               0.006238
                     41,                 1.4167,                 1.0321,                0.92506,                0.41738,                0.30932,                 0.3062,                0.17616,                  1.382,                 1.0201,                0.91681,               0.006139,               0.006139,               0.006139
                     42,                   1.41,                 1.0221,                0.92407,                0.41695,                0.31572,                 0.3126,                0.17979,                 1.3795,                 1.0172,                0.91671,                0.00604,                0.00604,                0.00604
                     43,                 1.4092,                 1.0233,                0.92361,                0.40588,                 0.3181,                0.31358,                  0.181,                 1.3714,                 1.0171,                 0.9154,               0.005941,               0.005941,               0.005941
                     44,                 1.4142,                 1.0261,                0.92212,                0.41961,                0.31903,                0.31524,                0.18171,                 1.3653,                 1.0047,                0.91444,               0.005842,               0.005842,               0.005842
                     45,                 1.4091,                 1.0185,                 0.9241,                0.42171,                0.31464,                0.31167,                0.17974,                 1.3725,                  1.011,                0.91674,               0.005743,               0.005743,               0.005743
                     46,                 1.3984,                 1.0092,                0.92076,                0.40307,                0.32191,                0.31488,                0.18163,                 1.3667,                 1.0075,                0.91443,               0.005644,               0.005644,               0.005644
                     47,                 1.4023,                 1.0147,                0.92233,                0.41479,                0.32582,                 0.3194,                0.18347,                 1.3671,                 1.0098,                0.91536,               0.005545,               0.005545,               0.005545
                     48,                  1.393,                 1.0082,                0.92293,                0.42792,                0.31609,                0.31802,                0.18275,                 1.3639,                 1.0005,                0.91241,               0.005446,               0.005446,               0.005446
                     49,                 1.3882,                 1.0029,                0.91892,                0.40527,                0.31771,                0.31516,                0.18189,                 1.3687,                 1.0033,                0.91434,               0.005347,               0.005347,               0.005347
                     50,                 1.3869,                0.99867,                0.91822,                0.41649,                0.31694,                0.31769,                0.18341,                 1.3649,                 1.0031,                0.91503,               0.005248,               0.005248,               0.005248
                     51,                 1.3868,                0.99822,                0.91723,                  0.418,                0.32338,                0.32069,                0.18503,                 1.3601,                0.99758,                 0.9136,               0.005149,               0.005149,               0.005149
                     52,                 1.3834,                0.99363,                0.91799,                0.43471,                0.31689,                0.32139,                0.18612,                  1.361,                0.99515,                0.91288,                0.00505,                0.00505,                0.00505
                     53,                  1.387,                0.99819,                0.91803,                0.43018,                0.32136,                0.32399,                0.18794,                 1.3568,                0.98965,                0.91267,               0.004951,               0.004951,               0.004951
                     54,                 1.3826,                0.98415,                0.91683,                0.43297,                0.32122,                0.32487,                0.18823,                 1.3539,                0.99345,                0.91235,               0.004852,               0.004852,               0.004852
                     55,                 1.3752,                0.98886,                0.91556,                0.43593,                0.32072,                0.32301,                0.18666,                 1.3564,                0.99015,                0.91286,               0.004753,               0.004753,               0.004753
                     56,                 1.3693,                0.98208,                0.91568,                0.43215,                0.32142,                0.32546,                0.18954,                 1.3535,                0.98546,                0.91117,               0.004654,               0.004654,               0.004654
                     57,                 1.3758,                0.98039,                0.91555,                0.42333,                0.32466,                0.32373,                0.18759,                 1.3584,                0.98871,                 0.9116,               0.004555,               0.004555,               0.004555
                     58,                 1.3714,                  0.981,                0.91561,                0.43418,                0.32681,                0.32827,                0.19109,                 1.3537,                0.98331,                0.91153,               0.004456,               0.004456,               0.004456
                     59,                  1.376,                0.98005,                0.91399,                0.43585,                0.31928,                0.32617,                0.18898,                 1.3493,                 0.9821,                0.90913,               0.004357,               0.004357,               0.004357
                     60,                 1.3717,                0.97851,                0.91518,                0.43595,                0.32391,                0.32598,                0.19053,                   1.35,                0.98036,                0.90987,               0.004258,               0.004258,               0.004258
                     61,                  1.363,                0.97101,                0.91409,                 0.4289,                0.32664,                0.32768,                0.18975,                 1.3478,                0.97839,                0.90941,               0.004159,               0.004159,               0.004159
                     62,                 1.3622,                0.97188,                0.91233,                0.42777,                0.32427,                0.32666,                0.19066,                 1.3492,                  0.978,                0.91051,                0.00406,                0.00406,                0.00406
                     63,                 1.3653,                0.97104,                0.91294,                0.42816,                0.32415,                0.32478,                0.18896,                 1.3472,                0.97709,                0.90883,               0.003961,               0.003961,               0.003961
                     64,                 1.3653,                0.96883,                0.91167,                0.43148,                 0.3248,                0.32617,                 0.1898,                 1.3463,                0.97803,                0.90888,               0.003862,               0.003862,               0.003862
                     65,                 1.3627,                0.96413,                0.91268,                0.43479,                 0.3265,                0.32947,                0.19128,                 1.3459,                0.97596,                0.90874,               0.003763,               0.003763,               0.003763
                     66,                 1.3595,                0.96361,                  0.913,                0.43511,                0.32719,                0.33047,                0.19203,                 1.3429,                0.97479,                0.90766,               0.003664,               0.003664,               0.003664
                     67,                 1.3536,                0.95238,                0.91103,                0.42105,                0.33004,                0.32846,                0.19079,                 1.3396,                0.97539,                0.90795,               0.003565,               0.003565,               0.003565
                     68,                 1.3615,                0.96013,                0.91012,                0.42893,                0.33032,                0.32912,                0.19182,                 1.3402,                0.97382,                0.90744,               0.003466,               0.003466,               0.003466
                     69,                 1.3502,                0.95656,                0.91099,                0.44293,                0.32565,                0.33049,                0.19292,                 1.3385,                0.97348,                0.90744,               0.003367,               0.003367,               0.003367
                     70,                 1.3533,                0.95444,                0.90877,                0.43065,                0.32623,                0.32889,                0.19227,                 1.3384,                0.97275,                0.90669,               0.003268,               0.003268,               0.003268
                     71,                  1.355,                0.94967,                0.91001,                0.43853,                0.32286,                0.33013,                0.19266,                  1.336,                0.97333,                0.90664,               0.003169,               0.003169,               0.003169
                     72,                  1.358,                0.95722,                0.90928,                0.44674,                0.32947,                0.33294,                0.19473,                 1.3353,                0.96926,                0.90689,                0.00307,                0.00307,                0.00307
                     73,                 1.3426,                 0.9429,                0.90944,                0.44073,                0.32714,                0.33159,                0.19381,                 1.3344,                0.96885,                0.90692,               0.002971,               0.002971,               0.002971
                     74,                 1.3454,                0.94701,                0.90791,                0.45353,                 0.3244,                0.33083,                0.19399,                 1.3342,                0.96669,                0.90558,               0.002872,               0.002872,               0.002872
                     75,                 1.3387,                0.94048,                0.90647,                0.44636,                 0.3258,                0.33273,                0.19395,                 1.3343,                0.96659,                0.90529,               0.002773,               0.002773,               0.002773
                     76,                 1.3356,                0.93293,                0.90818,                0.43275,                0.33064,                0.33327,                0.19438,                 1.3365,                0.96519,                0.90588,               0.002674,               0.002674,               0.002674
                     77,                 1.3424,                0.93833,                0.90635,                0.44639,                0.32797,                0.33532,                0.19512,                 1.3331,                0.96449,                0.90584,               0.002575,               0.002575,               0.002575
                     78,                 1.3365,                0.93494,                 0.9065,                0.44872,                0.32704,                0.33426,                0.19461,                 1.3319,                0.96378,                 0.9055,               0.002476,               0.002476,               0.002476
                     79,                 1.3345,                0.93181,                0.90478,                0.43616,                0.33375,                 0.3344,                0.19522,                 1.3346,                 0.9653,                0.90523,               0.002377,               0.002377,               0.002377
                     80,                 1.3375,                0.93322,                0.90611,                0.43745,                0.33059,                0.33454,                0.19566,                 1.3336,                0.96145,                0.90588,               0.002278,               0.002278,               0.002278
                     81,                 1.3278,                  0.924,                0.90431,                0.43545,                0.33185,                0.33437,                 0.1956,                  1.331,                0.95963,                0.90547,               0.002179,               0.002179,               0.002179
                     82,                   1.33,                 0.9252,                  0.905,                0.44215,                0.33067,                0.33441,                0.19468,                 1.3303,                 0.9605,                0.90528,                0.00208,                0.00208,                0.00208
                     83,                 1.3278,                 0.9219,                0.90559,                0.44715,                0.32843,                 0.3353,                0.19565,                 1.3302,                0.96038,                0.90537,               0.001981,               0.001981,               0.001981
                     84,                 1.3327,                0.92448,                 0.9024,                 0.4402,                0.33287,                0.33513,                0.19552,                 1.3328,                0.95926,                0.90528,               0.001882,               0.001882,               0.001882
                     85,                  1.319,                0.91217,                0.90337,                 0.4419,                0.33432,                0.33529,                0.19594,                 1.3332,                0.95951,                0.90605,               0.001783,               0.001783,               0.001783
                     86,                 1.3201,                0.91225,                0.90257,                0.44209,                 0.3299,                0.33547,                 0.1965,                 1.3326,                0.95832,                0.90581,               0.001684,               0.001684,               0.001684
                     87,                  1.325,                0.91634,                0.90284,                0.43855,                0.33473,                0.33418,                0.19638,                  1.331,                0.95772,                0.90566,               0.001585,               0.001585,               0.001585
                     88,                 1.3183,                0.90968,                0.90222,                0.44464,                 0.3316,                0.33569,                0.19697,                 1.3301,                0.95683,                0.90535,               0.001486,               0.001486,               0.001486
                     89,                 1.3221,                0.91314,                0.90259,                0.44797,                 0.3334,                0.33706,                0.19787,                 1.3291,                0.95593,                 0.9053,               0.001387,               0.001387,               0.001387
                     90,                 1.3198,                0.91135,                0.90227,                0.43419,                0.33565,                0.33621,                0.19698,                 1.3303,                0.95553,                0.90517,               0.001288,               0.001288,               0.001288
                     91,                 1.3021,                0.89321,                0.90407,                0.44675,                0.33077,                0.33347,                0.19492,                 1.3345,                 0.9625,                0.90628,               0.001189,               0.001189,               0.001189
                     92,                 1.2914,                 0.8806,                0.90155,                0.44393,                0.32891,                0.33334,                0.19471,                 1.3356,                0.96383,                0.90648,                0.00109,                0.00109,                0.00109
                     93,                 1.2853,                0.87139,                  0.901,                0.43836,                0.32917,                0.33324,                  0.195,                 1.3361,                0.96169,                 0.9064,               0.000991,               0.000991,               0.000991
                     94,                 1.2815,                0.86651,                0.90005,                0.43862,                 0.3308,                0.33392,                0.19479,                 1.3372,                 0.9615,                0.90624,               0.000892,               0.000892,               0.000892
                     95,                 1.2796,                 0.8677,                0.89896,                0.43282,                0.33499,                 0.3336,                0.19447,                 1.3378,                   0.96,                0.90608,               0.000793,               0.000793,               0.000793
                     96,                 1.2764,                  0.861,                 0.8989,                0.43474,                0.33216,                0.33429,                0.19473,                  1.336,                0.96018,                0.90587,               0.000694,               0.000694,               0.000694
                     97,                 1.2737,                0.85864,                0.89873,                0.43997,                 0.3296,                0.33415,                0.19465,                 1.3353,                0.96126,                0.90589,               0.000595,               0.000595,               0.000595
                     98,                 1.2714,                0.85601,                0.89725,                0.43282,                0.33234,                0.33402,                0.19464,                 1.3341,                0.96056,                0.90579,               0.000496,               0.000496,               0.000496
                     99,                   1.27,                0.85313,                0.89716,                0.43648,                 0.3317,                0.33398,                0.19446,                 1.3341,                0.95976,                0.90573,               0.000397,               0.000397,               0.000397
                    100,                  1.265,                0.84766,                 0.8961,                0.43684,                0.33333,                0.33416,                0.19446,                  1.334,                0.95955,                0.90566,               0.000298,               0.000298,               0.000298
